image_id,file_path,label,kfolds,label_encoded
hand1_0_bot_seg_1_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_bot_seg_1_cropped.jpeg,0,1,0
hand1_0_bot_seg_2_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_bot_seg_2_cropped.jpeg,0,0,0
hand1_0_bot_seg_3_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_bot_seg_3_cropped.jpeg,0,3,0
hand1_0_bot_seg_4_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_bot_seg_4_cropped.jpeg,0,0,0
hand1_0_bot_seg_5_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_bot_seg_5_cropped.jpeg,0,3,0
hand1_0_dif_seg_1_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_dif_seg_1_cropped.jpeg,0,1,0
hand1_0_dif_seg_2_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_dif_seg_2_cropped.jpeg,0,0,0
hand1_0_dif_seg_3_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_dif_seg_3_cropped.jpeg,0,2,0
hand1_0_dif_seg_4_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_dif_seg_4_cropped.jpeg,0,3,0
hand1_0_dif_seg_5_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_dif_seg_5_cropped.jpeg,0,0,0
hand1_0_left_seg_1_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_left_seg_1_cropped.jpeg,0,2,0
hand1_0_left_seg_2_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_left_seg_2_cropped.jpeg,0,0,0
hand1_0_left_seg_3_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_left_seg_3_cropped.jpeg,0,4,0
hand1_0_left_seg_4_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_left_seg_4_cropped.jpeg,0,0,0
hand1_0_left_seg_5_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_left_seg_5_cropped.jpeg,0,4,0
hand1_0_right_seg_1_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_right_seg_1_cropped.jpeg,0,2,0
hand1_0_right_seg_2_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_right_seg_2_cropped.jpeg,0,4,0
hand1_0_right_seg_3_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_right_seg_3_cropped.jpeg,0,2,0
hand1_0_right_seg_4_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_right_seg_4_cropped.jpeg,0,4,0
hand1_0_right_seg_5_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_right_seg_5_cropped.jpeg,0,3,0
hand1_0_top_seg_1_cropped.jpeg,D:\courses\kaggle_dl_proj\input\data\0\hand1_0_top_seg_1_cropped.jpeg,0,1,0
